ＪＸ日鉱日石金属,,,10,名詞,固有名詞,組織,,*,*,,,
ＮＳステンレス,,,10,名詞,固有名詞,組織,,*,*,,,
ＮＴＴコムソリューションズ,,,10,名詞,固有名詞,組織,,*,*,,,
ＳＵＭＣＯ　ＴＥＣＨＸＩＶ,,,10,名詞,固有名詞,組織,,*,*,,,
ＳＵＭＴＥＣサービス,,,10,名詞,固有名詞,組織,,*,*,,,
ＺＴＥジャパン,,,10,名詞,固有名詞,組織,,*,*,,,
ア・ア・ンコーポレーション,,,10,名詞,固有名詞,組織,,*,*,,,
ア・ジャストポリマー,,,10,名詞,固有名詞,組織,,*,*,,,
アーアル研究所,,,10,名詞,固有名詞,組織,,*,*,,,
アーキ・ピーアンドシー,,,10,名詞,固有名詞,組織,,*,*,,,
アーキテクト・Ｋ,,,10,名詞,固有名詞,組織,,*,*,,,
アーキテクノ,,,10,名詞,固有名詞,組織,,*,*,,,
アーキテック,,,10,名詞,固有名詞,組織,,*,*,,,
アーク,,,10,名詞,固有名詞,組織,,*,*,,,
アーク,,,10,名詞,固有名詞,組織,,*,*,,,
アーク,,,10,名詞,固有名詞,組織,,*,*,,,
アーク・スタッフ,,,10,名詞,固有名詞,組織,,*,*,,,
アーク柏,,,10,名詞,固有名詞,組織,,*,*,,,
アーク情報システム,,,10,名詞,固有名詞,組織,,*,*,,,
アークステーション,,,10,名詞,固有名詞,組織,,*,*,,,
アークテイク,,,10,名詞,固有名詞,組織,,*,*,,,
アークテック,,,10,名詞,固有名詞,組織,,*,*,,,
アークテック,,,10,名詞,固有名詞,組織,,*,*,,,
アークフィール,,,10,名詞,固有名詞,組織,,*,*,,,
アーサー,,,10,名詞,固有名詞,組織,,*,*,,,
アース,,,10,名詞,固有名詞,組織,,*,*,,,
アース機械設計,,,10,名詞,固有名詞,組織,,*,*,,,
アーチ,,,10,名詞,固有名詞,組織,,*,*,,,
アーツコンサルタント,,,10,名詞,固有名詞,組織,,*,*,,,
アーデントスタッフ,,,10,名詞,固有名詞,組織,,*,*,,,
アート技研,,,10,名詞,固有名詞,組織,,*,*,,,
アート技研,,,10,名詞,固有名詞,組織,,*,*,,,
アートクリーンサービス,,,10,名詞,固有名詞,組織,,*,*,,,
アート建装,,,10,名詞,固有名詞,組織,,*,*,,,
アート建築,,,10,名詞,固有名詞,組織,,*,*,,,
アート工業,,,10,名詞,固有名詞,組織,,*,*,,,
アート産業,,,10,名詞,固有名詞,組織,,*,*,,,
アート宣伝,,,10,名詞,固有名詞,組織,,*,*,,,
アートテクノロジー,,,10,名詞,固有名詞,組織,,*,*,,,
アートテック,,,10,名詞,固有名詞,組織,,*,*,,,
アートテック,,,10,名詞,固有名詞,組織,,*,*,,,
アート電子,,,10,名詞,固有名詞,組織,,*,*,,,
アート電子,,,10,名詞,固有名詞,組織,,*,*,,,
アート電子,,,10,名詞,固有名詞,組織,,*,*,,,
アートビーム,,,10,名詞,固有名詞,組織,,*,*,,,
アートフロンティア,,,10,名詞,固有名詞,組織,,*,*,,,
アートブレイン,,,10,名詞,固有名詞,組織,,*,*,,,
アーネスト工業,,,10,名詞,固有名詞,組織,,*,*,,,
アーネットコーポレーション,,,10,名詞,固有名詞,組織,,*,*,,,
アーバン,,,10,名詞,固有名詞,組織,,*,*,,,
アーバン・コーポレーション,,,10,名詞,固有名詞,組織,,*,*,,,
アーバンオフィス,,,10,名詞,固有名詞,組織,,*,*,,,
アーバン黒岡工業,,,10,名詞,固有名詞,組織,,*,*,,,
アーバン警備保障,,,10,名詞,固有名詞,組織,,*,*,,,
アーバン建設,,,10,名詞,固有名詞,組織,,*,*,,,
アーバン造園,,,10,名詞,固有名詞,組織,,*,*,,,
アーバンテクノ,,,10,名詞,固有名詞,組織,,*,*,,,
アームワン,,,10,名詞,固有名詞,組織,,*,*,,,
アール・ケー・ケー・コンピューター・サービス,,,10,名詞,固有名詞,組織,,*,*,,,
アール・ビー工装,,,10,名詞,固有名詞,組織,,*,*,,,
アール・アイ,,,10,名詞,固有名詞,組織,,*,*,,,
アールアンドイー,,,10,名詞,固有名詞,組織,,*,*,,,
アールアンドエー,,,10,名詞,固有名詞,組織,,*,*,,,
アールアンドケー,,,10,名詞,固有名詞,組織,,*,*,,,
ＲＥＣ,,,10,名詞,固有名詞,組織,,*,*,,,
アールエス,,,10,名詞,固有名詞,組織,,*,*,,,
アールエスコンポーネンツ,,,10,名詞,固有名詞,組織,,*,*,,,
ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,,,10,名詞,固有名詞,組織,,*,*,,,
ＲＦルーカス,,,10,名詞,固有名詞,組織,,*,*,,,
　アールキャスト,,,10,名詞,固有名詞,組織,,*,*,,,
ＲＫＢ毎日放送,,,10,名詞,固有名詞,組織,,*,*,,,
アール工房,,,10,名詞,固有名詞,組織,,*,*,,,
アールジービー,,,10,名詞,固有名詞,組織,,*,*,,,
　アールジーン,,,10,名詞,固有名詞,組織,,*,*,,,
アール・ダブリュー・シー,,,10,名詞,固有名詞,組織,,*,*,,,
アールテック,,,10,名詞,固有名詞,組織,,*,*,,,
アール電子,,,10,名詞,固有名詞,組織,,*,*,,,
アール・ビー・コントロールズ,,,10,名詞,固有名詞,組織,,*,*,,,
アーレスティ,,,10,名詞,固有名詞,組織,,*,*,,,
アァルピィ東プラ,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩ,,,10,名詞,固有名詞,組織,,*,*,,,
アイ　ミニモールド,,,10,名詞,固有名詞,組織,,*,*,,,
アイ．ディー．ティー,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・イー・シー,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・イー・シー,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・エス・シー工業,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・エス・ソリューション,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・エス・ビー,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・エム・シー,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・エム・マムロ,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・シー・ピー,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・シー・ランド,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・システム,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・テック,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・テック,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・ディー・エフ,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・ビー・テクノス,,,10,名詞,固有名詞,組織,,*,*,,,
アイアール,,,10,名詞,固有名詞,組織,,*,*,,,
アイアールシー・データ・プロ・テクニカ,,,10,名詞,固有名詞,組織,,*,*,,,
Ｉ＆Ｓ　ＢＢＤＯ,,,10,名詞,固有名詞,組織,,*,*,,,
Ｉ＆Ｃ,,,10,名詞,固有名詞,組織,,*,*,,,
アイ・イー・シー,,,10,名詞,固有名詞,組織,,*,*,,,
アイウェーヴ,,,10,名詞,固有名詞,組織,,*,*,,,
アイエイ,,,10,名詞,固有名詞,組織,,*,*,,,
アイエイシーコマース,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩ・東芝パワーシステム,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩインフラシステム,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩ運搬機械,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩ運搬機械,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩ回転機械,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩ機械システム,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩキャスティングス,,,10,名詞,固有名詞,組織,,*,*,,,
ＩＨＩ検査計測,,,10,名詞,固有名詞,組織,,*,*,,,
