Ｊ,501389,ＪＸ日鉱日石金属株式会社,100-8164,東京都千代田区大手町二丁目６番３号,2018/09/24,http://www.nmm.jx-group.co.jp/
Ｎ,129201,ＮＳステンレス株式会社,103-0021,東京都中央区日本橋本石町３−２−２　北越製紙ビル５階,2017/12/17,http://www.ns-sus.co.jp
Ｎ,126711,ＮＴＴコムソリューションズ株式会社,101-8347,東京都千代田区猿楽町１−５−１５,2018/03/08,http://www.nttcsol.com
Ｓ,102103,ＳＵＭＣＯ　ＴＥＣＨＸＩＶ株式会社,856-8555,長崎県大村市雄ヶ原町１３２４−２,2019/08/19,http://www.sumcosi.com
Ｓ,122943,ＳＵＭＴＥＣサービス株式会社,856-0022,長崎県大村市雄ヶ原町１３２４−２,2019/01/05,http://www.sumcosi.com
Ｚ,504565,ＺＴＥジャパン株式会社,104-6232,東京都中央区晴海一丁目８番１２号晴海アイランドトリトンスクエアオフィスタワーＺ棟３２,2019/06/13,http://www.zte.co.jp/
ア,229988,ア・ア・ンコーポレーション株式会社,520-3251,滋賀県湖南市朝国２６０番地,2017/10/07,
ア,129040,株式会社ア・ジャストポリマー,412-0044,静岡県御殿場市杉名沢５２１,2017/07/28,http://www.ajustpolymer.com
ア,126206,株式会社アーアル研究所,029-0521,岩手県一関市大東町渋民字田中１,2017/11/14,http://www.rtechnical.co.jp/
ア,226395,株式会社アーキ・ピーアンドシー,220-0003,神奈川県横浜市西区楠町４−７,2020/02/01,http://www.archi-pc.co.jp
ア,210206,株式会社アーキテクト・Ｋ,105-0014,東京都港区芝２丁目３−１２芝シムラビル６階,2018/03/06,
ア,227376,株式会社アーキテクノ,061-1274,北海道北広島市大曲工業団地５丁目１の４,2018/02/09,
ア,228871,アーキテック株式会社,781-8130,高知県高知市一宮２７３２−７,2019/02/01,
ア,104487,株式会社アーク,177-0033,東京都練馬区高野台２−２７−３５,2019/07/27,http://www.arknw.co.jp/
ア,111374,株式会社アーク,541-0054,大阪市中央区南本町２−２−９　辰野南本町ビル１０Ｆ,2017/11/08,http://www.arrk.co.jp
ア,228953,株式会社アーク,920-0806,石川県金沢市神宮寺２−１１−２１,2019/04/04,
ア,210811,株式会社アーク・スタッフ,231-0015,神奈川県横浜市中区尾上町５−７６明治屋尾上町ビル４Ｆ,2019/01/06,
ア,229496,株式会社アーク柏,340-0002,埼玉県草加市青柳８−３２−１,2017/02/15,http://www.ark-kashiwa.com
ア,121309,株式会社アーク情報システム,102-0076,東京都千代田区五番町４−２,2017/05/14,http://www.ark-info-sys.co.jp
ア,127809,株式会社アークステーション,231-0023,神奈川県横浜市中区山下町５１−１　読売横浜ビル８階,2019/03/14,http://www.ark-station.com/
ア,111206,株式会社アークテイク,169-0075,東京都新宿区高田馬場３−２−５　フレンドビル６Ｆ,2017/07/21,http://www.arktake.co.jp
ア,121298,アークテック株式会社,321-0202,栃木県下都賀郡壬生町おもちゃのまち４−１１−１６,2020/02/12,http://www.arktech.co.jp
ア,212455,株式会社アークテック,141-0021,東京都品川区上大崎３−１０−６０,2019/02/06,http://www.arc-tec.co.jp/live.html
ア,228187,アークフィール株式会社,101-0041,東京都千代田区神田須田町２−２３−１１Ｃ−ＫＳ１　５Ｆ,2018/06/21,http://www.arcfeel.co.jp
